Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,Longest Proudct Name
Centera,Generation 2,1-Feb-03,31-Dec-04,31-Dec-09,31-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,7
Centera,Generation 3,1-Dec-04,31-Mar-06,31-Mar-11,31-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,7
Centera,Generation 4  1.2 TB,1-May-05,1-Jul-07,28-Feb-13,28-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,Yes,1-Dec-15,7
Centera,Generation 4  2.0 TB,2-Oct-06,1-Mar-08,28-Feb-13,28-Feb-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,Yes,1-Dec-15,7
Centera,Generation 4 LP 12 TB,19-Nov-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,1-Dec-15,7
Centera,Generation 4 LP 3 TB,11-Jul-07,9-Feb-09,28-Feb-14,28-Feb-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,Yes,1-Dec-15,7
Centera,Generation 4 LP 4 TB,19-May-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,7
Centera,Generation 4 LP 8 TB,7-May-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,1-Dec-15,7
Centriplex,1000,1-Jan-96,30-Apr-98,31-Dec-03,31-Dec-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,10
CLARiiON AX1,AX100,28-Jul-04,30-Apr-06,30-Apr-11,30-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,12
CLARiiON AX1,AX100i,31-Jan-05,30-Apr-06,30-Apr-11,30-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,12
CLARiiON AX1,AX100SC,28-Jul-04,30-Apr-06,30-Apr-11,30-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,12
CLARiiON AX1,AX100SCi,31-Jan-05,30-Apr-06,30-Apr-11,30-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,1-Dec-15,12
CLARiiON AX1,AX150,3-Apr-06,30-Apr-08,31-May-13,31-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,yes,1-Dec-15,12
CLARiiON AX1,AX150i,3-Apr-06,30-Apr-08,31-May-13,31-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,yes,1-Dec-15,12
CLARiiON AX1,AX150SC,3-Apr-06,30-Apr-08,31-May-13,31-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,yes,1-Dec-15,12
CLARiiON AX1,AX150SCi,3-Apr-06,30-Apr-08,31-May-13,31-May-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,yes,1-Dec-15,12
CLARiiON AX4,AX4-5F,10-Jan-08,30-Jun-14,30-Jun-19,30-Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,yes,yes,yes,1-Dec-15,12
