Product,Model,GA Date,EOL Date,EOPS Date,EOSL Date,Include?,GA Updated?,EOL Updated?,EOPS Updated?,EOSL Updated?,Date Red to Black,,,,,,,,,,
CLARiiON,AX4-5FSC,10-Jan-2008,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,No,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,AX4-5FSCX,07-Dec-2009,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,No,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,AX4-5FSCX-750,07-Dec-2009,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,No,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,AX4-5FX,07-Dec-2009,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,No,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,AX4-5I,10-Jan-2008,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,NO,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,AX4-5IDC,01-Sep-2008,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,NO,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,AX4-5ISC,10-Jan-2008,30-Jun-2014,30-Jun-2019,30-Jun-2019,Yes,NO,yes,yes,yes,30-Apr-2014,,,,,,,,,,
CLARiiON,CX200,01-Feb-2003,30-Sep-2004,30-Sep-2009,30-Sep-2009,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX200LC,01-Feb-2003,30-Sep-2004,30-Sep-2009,30-Sep-2009,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX-2DDAE-FD,01-May-2005,31-Dec-2008,31-Mar-2014,31-Mar-2014,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX-2GDAE,01-Aug-2002,31-Dec-2008,31-Mar-2014,31-Mar-2014,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX300,01-Feb-2004,30-Jun-2008,30-Jun-2013,30-Jun-2013,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX300DC,01-May-2005,31-Dec-2007,31-Dec-2011,31-Dec-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX300i,01-Apr-2005,30-Jun-2007,31-Dec-2011,31-Dec-2011,Yes,No,no,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX3-10C,01-Feb-2007,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-10DC,01-Jul-2007,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-20,01-May-2006,31-Mar-2007,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-20C,01-Oct-2006,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-20F,01-Feb-2007,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-20FDC,01-Feb-2007,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-40,01-May-2006,31-Mar-2007,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-40C,01-Oct-2006,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-40F,01-Feb-2007,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-40FDC,01-Feb-2007,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX3-80,01-May-2006,31-Mar-2009,31-Mar-2014,31-Mar-2014,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX400,01-Oct-2002,30-Sep-2004,30-Sep-2009,30-Sep-2009,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX4-120C,01-Aug-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,01-Nov-2011,,,,,,,,,,
CLARiiON,CX4-120C8,01-May-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-120C8DC,01-May-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-120C8X,14-Sep-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-120C8XDC,14-Sep-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-120CDC,01-Dec-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-240C,01-Aug-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-240C8,01-May-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-240C8DC,01-May-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-240C8X,14-Sep-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-240C8XDC,14-Sep-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-240CDC,01-Dec-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-240C-ISW,09-Nov-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-480C,01-Aug-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-480C8,01-May-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-480C8DC,01-May-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-480C8X,14-Sep-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-480C8XDC,14-Sep-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-480CDC,01-Dec-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-960C,01-Aug-2008,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-960C8,01-May-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-960C8,16-Nov-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-960C8X,14-Sep-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-960C8X,16-Nov-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4-960C-ISW,09-Nov-2009,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4D-480C,10-Mar-2010,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4D-480C8,10-Mar-2010,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4D-480C8X,10-Mar-2010,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,No,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4D-960C,16-Feb-2010,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,NO,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4D-960C8,16-Feb-2010,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,NO,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX4D-960C8X,16-Feb-2010,31-Dec-2011,31-Dec-2016,31-Dec-2016,Yes,NO,No,No,Yes,31-Mar-2013,,,,,,,,,,
CLARiiON,CX500,01-Feb-2004,31-Dec-2006,31-Dec-2011,31-Dec-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX500DC,01-May-2005,30-Jun-2007,31-Dec-2011,31-Dec-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX500i,01-Feb-2005,31-Dec-2006,31-Dec-2011,31-Dec-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX600,01-Aug-2002,30-Sep-2004,30-Sep-2009,30-Sep-2009,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
CLARiiON,CX700,01-Feb-2004,31-Dec-2006,31-Dec-2011,31-Dec-2011,Yes,No,No,No,No,31-Jan-2010,,,,,,,,,,
